id,Name,Last Name,PhoneCC,phone,full phone,country,country ID,region
1,Reiner,Fernandez,507,82534183,+507-82534183,Panama,6,Latam
2,Betty,Resi,505,38729729,+505-38729729,Nicaragua,5,Latam
3,Andrea,Zendaya,507,95193031,+507-95193031,Panama,6,Latam
4,Casper,Ulrich,54,39882455,+54-39882455,Argentina,1,Latam
5,Vany,Sentil,505,27801093,+505-27801093,Nicaragua,5,Latam
6,Kendra,Yvay,58,70882767,+58-70882767,Venezuela,4,Latam
7,Rosaline,Mc,58,37193617,+58-37193617,Venezuela,4,Latam
8,Ariana,Yvay,54,86981951,+54-86981951,Argentina,1,Latam
9,Catalina,Cordero,506,74183650,+506-74183650,Costa Rica,0,Latam
10,Roland,Alvarez,54,15798709,+54-15798709,Argentina,1,Latam
11,Zen,Araya,1,78555919,+1-78555919,Estados Unidos,2,America
12,Catalina,Chaves,595,72367816,+595-72367816,Paraguay,10,Latam
13,Alejandra,Rojas,1,53151429,+1-53151429,Estados Unidos,2,America
14,Rudy,Ulrich,54,63297249,+54-63297249,Argentina,1,Latam
15,Nelson,Yardy,598,79872925,+598-79872925,Uruguay,9,Latam
16,Oscar,Ruiz,359,47246711,+359-47246711,Bulgaria,3,Europe
17,Roland,Rojas,595,71629469,+595-71629469,Paraguay,10,Latam
18,Karina,Chavarria,506,15324883,+506-15324883,Costa Rica,0,Latam
19,Vany,Pavan,54,43586899,+54-43586899,Argentina,1,Latam
20,Vany,X-raz,86,97812276,+86-97812276,China,11,Asia
21,Nelson,Cardenas,359,65434166,+359-65434166,Bulgaria,3,Europe
22,Nilson,Resi,598,38435905,+598-38435905,Uruguay,9,Latam
23,Andrea,Yardy,86,64822674,+86-64822674,China,11,Asia
24,Alessandro,Alvarez,58,37704844,+58-37704844,Venezuela,4,Latam
25,Alejandra,Kumar,86,17054098,+86-17054098,China,11,Asia
26,Francisco,Alvarez,1,32310092,+1-32310092,Estados Unidos,2,America
27,Reiner,Mc,506,67986890,+506-67986890,Costa Rica,0,Latam
28,Zen,Wellington,86,87633410,+86-87633410,China,11,Asia
